EVENTS_Event_ID,EVENT_TYPE,Obs_Initials,TURTLEID,MOTOTOOL,TAG_NUM,EVENT_DATE,EVENT_TIME,ISLAND,Area,Site,EVENTS_GPS_WAYPT,EVENTS_GPS_unit,EVENTS_DATALOGGER,EVENTS_LAT_DD,EVENTS_LONG_DD,SPECIES_CODE,SEX,SCL_CM,SCW_CM,CCL_CM,CCW_CM,PLASTRON_LEN_CM,TAIL_LEN_CM,VENT_LEN_CM,Mass,TUMORS_YNU,TUMRNK,EMACIATION_CODE,DESCRIP,PHOTOS_Taken,SAMPLES_Taken,RELEASE_DATE,RELEASE_LOC,NECROPSY,HOOK,LINE,Fishing_Line_Severity,NET,BOAT_IMPACT,SHARK_ATTACK,HUMAN_TAKE,Capture_Platform,Capture_Method,EVENTS_Entry_completed_By,Validated_By,CLEANUP_NOTES,TURT_SEQ,CREATE_DTM,CREATED_BY,LAST_MOD_DTM,LAST_MOD_BY,WEIGHT_LB,TAG_INFO,PAINT,Survey_HeaderID,Release_LAT_DD,Release_LONG_DD,Turtle_Num_of_Day,Videos_Taken,Validated_Date,RELEASE_GPS_WAYPT,Release_GPS_unit,RELEASE_TIME,Missing_Body_Part,Project_Code_ID,Lavage,Ultrasound,Tetracycline_Injection,Tetracycline_left_shoulder,Tetracycline_right_shoulder,Tetracycline_Total,Laparoscopy,Nesting_Activity,SCL_est,SCW_est,CCL_est,CCW_est,PLASTRON_LEN_est,TAIL_LEN_est,VENT_LEN_est,Mass_est,Maturity_State_ID,NEW_TAG_INFO,ID,Nestings_Event_ID,Nestings_Entry_completed_By,Time,ACTIVITY,Nestings_GPS_WAYPT,Nestings_GPS_unit,Nestings_DATALOGGER,Nest_Marker,Turtle_Observed,Num_of_Eggs,Site_Sector,Nestings_LAT_DD,Nestings_LONG_DD,Data_Logger_Type,Nest_ID
239828,7,"ASR, ATG, SKI",20230524BA27T,27T,,5/24/2023,,FFS,Tern,6 Sector,,,,,,Cm,F,,,,,,,,,,,,Day nester observed body pitting on our basking survey,FALSE,FALSE,,,FALSE,,,,,,,,,,SKI,SKI,,,5/26/2023,,,,,,,,,,,FALSE,12/19/2023,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40540,239828,,1/0/1900,2,,,,,FALSE,,6 Sector,,,,
240117,7,"ASR, SKI",982.000364988868,185T,,6/2/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/19/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40594,240117,,1/0/1900,1,,,,,TRUE,,6 Sector,,,,
240119,7,"ASR, SKI",20230602FFNE187T,187T,,6/2/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/22/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40595,240119,,1/0/1900,2,,,,,TRUE,,7 Sector,,,,
240120,7,"ASR, SKI",20230602FFNE188T,188T,,6/2/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found. healing hind flipper.,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/19/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40596,240120,,1/0/1900,6,,,,,TRUE,,7 Sector,,,,
240121,7,"ASR, SKI",20190515FFBAT10,189T,,6/2/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/19/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40597,240121,,1/0/1900,2,,,,,TRUE,,4 Sector,,,,
240122,7,"ASR, ATG",4257,190T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,96.8,73.2,105.2,92.1,,,,,,,,Right hind flipper healed 20% amputation,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40598,240122,,1/0/1900,1,,,,,TRUE,,3 Sector,,,,
240122,7,"ASR, ATG",4257,190T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,96.8,73.2,105.2,92.1,,,,,,,,Right hind flipper healed 20% amputation,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40599,240122,,1/0/1900,4,382,11,,,TRUE,,4 Sector,23.869096,-166.284959,,
240122,7,"ASR, ATG",4257,190T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,96.8,73.2,105.2,92.1,,,,,,,,Right hind flipper healed 20% amputation,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40600,240122,,1/0/1900,2,,,,,TRUE,,3 Sector,,,,
240122,7,"ASR, ATG",4257,190T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,96.8,73.2,105.2,92.1,,,,,,,,Right hind flipper healed 20% amputation,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40601,240122,,1/0/1900,2,,,,,TRUE,,3 Sector,,,,
240122,7,"ASR, ATG",4257,190T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,96.8,73.2,105.2,92.1,,,,,,,,Right hind flipper healed 20% amputation,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40602,240122,,1/0/1900,3,,,,,TRUE,,4 Sector,,,,
240124,7,"ASR, ATG",4526462101,192T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40604,240124,,1/0/1900,1,,,,,TRUE,,7 Sector,,,,
240125,7,"ASR, ATG",20230603FFNE193T,193T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40605,240125,,1/0/1900,1,,,,,TRUE,,7 Sector,,,,
240125,7,"ASR, ATG",20230603FFNE193T,193T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,52101,240125,,1/0/1900,6,,,,,TRUE,,7 Sector,,,,
240125,7,"ASR, ATG",20230603FFNE193T,193T,,6/3/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/25/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,52106,240125,,1/0/1900,2,,,,,TRUE,,3 Sector,,,,
240126,7,"ATG, SKI",20230604FFNE194T,194T,,6/4/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/30/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40606,240126,,1/0/1900,7,,,,,TRUE,,3 Sector,,,,
240127,7,"ATG, SKI",4C3C652E67,195T,,6/4/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/30/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40607,240127,,1/0/1900,1,,,,,TRUE,,3 Sector,,,,
240128,7,"ATG, SKI",20190710FFNET233,196T,,6/4/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,1/30/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40608,240128,,1/0/1900,2,,,,,TRUE,,5 Sector,,,,
240129,7,"ATG, SKI",20230605FFNE202T,202T,,6/5/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/1/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40609,240129,,1/0/1900,1,,,,,TRUE,,4 Sector,,,,
